window_start,window_end,pid,title,score,threshold,selected,reason,news_type,gtrend_boost,economic_boost,ip_matches,tier,url
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180278,AI需求爆發  中國網企調漲AI產品價格,100,94.0,Y,"score=99.8 thres=94.0 tier=P1_followup | rules=[IP/新奇(AI), 死亡/災害(爆發), auto_positive(世界), IP實體(AI), 分層IP(AI)]",,0.0,25.0,AI,P1_followup,https://www.cna.com.tw/news/acn/202603180278.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180300,澳紐雙部長會議支持台海和平穩定　外交部歡迎,94,94.0,Y,"score=94.5 thres=94.0 tier=P1_followup | rules=[ip_entities(澳洲), auto_positive(台灣,澳洲), auto_negative(會議), IP實體(澳洲), 分層IP(澳洲)]",,0.0,0.0,澳洲,P1_followup,https://www.cna.com.tw/news/aipl/202603180300.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180297,日本創經典賽最差戰績　總教練人選浮上檯面,84,94.0,N,"score=84.0 thres=94.0 tier=P3_analysis | rules=[IP/新奇(未知), 高關注運動(冠軍,奧運,大谷), ip_entities(大谷翔平,道奇,MLB), auto_positive(世界,日本,美國), IP實體(大谷翔平,WBC,MLB) … (+2)]",,0.0,0.0,"道奇, 奧運, 大谷翔平, MLB, WBC",P3_analysis,https://www.cna.com.tw/news/aspt/202603180297.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180267,日本三重縣知事訪台　盼推進半導體與觀光發展,81,94.0,N,"score=80.8 thres=94.0 tier=P1_followup | rules=[IP/新奇(AI), 高關注運動(勝), auto_positive(台灣,日本), IP實體(AI), 分層IP()]",,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/aipl/202603180267.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180272,花蓮富源森林遊樂區災後重生 園區飯店開幕,76,94.0,N,"score=76.0 thres=94.0 tier=P1_followup | rules=[死亡/災害(地震), ip_entities(花蓮), cp-breaking/公安突發(崩塌), IP實體(花蓮), 公安死傷加權(+15) … (+1)]",,0.0,0.0,花蓮,P1_followup,https://www.cna.com.tw/news/aloc/202603180272.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180277,台南遊艇海釣2人失聯　海面尋獲船長遺體,75,94.0,N,"score=75.3 thres=94.0 tier=P1_followup | rules=[死亡/災害(死), cp-breaking/公安突發(相驗), 公安死傷加權(+15), 分層IP()]",,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/asoc/202603180277.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180271,日本2月入境外國旅客近350萬人次　創同月新紀錄,67,94.0,N,"score=66.9 thres=94.0 tier=P1_followup | rules=[auto_positive(台灣,日本), 分層IP()]",,0.0,25.0,,P1_followup,https://www.cna.com.tw/news/aopl/202603180271.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180276,新北繁星錄取率達64%  在地學生逾84%表現亮眼,62,94.0,N,"score=62.1 thres=94.0 tier=P1_followup | rules=[auto_positive(台灣), 分層IP()]",,0.0,25.0,,P1_followup,https://www.cna.com.tw/news/aloc/202603180276.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180295,外資連2買加碼記憶體　敲進旺宏4.37萬張最多,60,94.0,N,"score=60.0 thres=94.0 tier=P3_analysis | rules=[IP/新奇(突破,AI), ip_entities(輝達), auto_positive(台灣), auto_negative(聯合), IP實體(鴻海,AI,輝達) … (+2)]",,0.0,10.0,"鴻海, 輝達, NVIDIA",P3_analysis,https://www.cna.com.tw/news/afe/202603180295.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180282,GCTF辦第一線醫療人員災難照護訓練　強化緊急應變能力,57,94.0,N,"score=57.0 thres=94.0 tier=P1_followup | rules=[IP/新奇(AI), auto_positive(台灣,緊急,美國), IP實體(AI), 分層IP()]",,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/aipl/202603180282.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180274,碩達捐永續淨零平台　助東吳大學掌握碳排熱點,51,94.0,N,"score=51.2 thres=94.0 tier=P1_followup | rules=[IP/新奇(AI), 泛國際(負)(承諾), auto_positive(台灣), IP實體(AI), 分層IP()]",,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/ahel/202603180274.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180275,斯里蘭卡突襲中國人經營詐團據點　逮捕135人,48,94.0,N,"score=48.4 thres=94.0 tier=P1_followup | rules=[死亡/災害(規模), auto_positive(台灣,規模), auto_negative(聯合), 分層IP()]",,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/aopl/202603180275.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180305,中東戰事衝擊物價　林伯豐盼4月電價暫緩調整,48,94.0,N,"score=48.0 thres=94.0 tier=P3_analysis | rules=[重大國際/軍事(戰爭), ip_entities(澳洲), auto_positive(台灣,澳洲,美國), IP實體(澳洲), 預測分析降權 … (+1)]",,0.0,0.0,澳洲,P3_analysis,https://www.cna.com.tw/news/afe/202603180305.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180270,辦座談會提願景　何欣純：好政策不分政黨續推動,45,94.0,N,"score=45.2 thres=94.0 tier=P2_response | rules=[IP/新奇(AI), ip_entities(輝達), auto_positive(台灣), IP實體(AI,輝達), 預測分析降權 … (+1)]",,0.0,0.0,輝達,P2_response,https://www.cna.com.tw/news/aloc/202603180270.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180298,外媒稱華府欲逼古巴總統下台　美國務卿盧比歐否認,42,94.0,N,"score=42.3 thres=94.0 tier=P2_response | rules=[auto_positive(美國), IP實體(川普), 分層IP(川普)]",,0.0,0.0,川普,P2_response,https://www.cna.com.tw/news/aopl/202603180298.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180306,台南橡塑膠工業展　線上媒合會助推國際商機,38,94.0,N,"score=38.4 thres=94.0 tier=P1_followup | rules=[auto_positive(台灣), 分層IP()]",,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/aloc/202603180306.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180308,外交部：近2年美37名國會議員來訪　展現強勁挺台,38,94.0,N,"score=37.7 thres=94.0 tier=P2_response | rules=[泛國際(負)(報告,重申,聲明), auto_positive(台灣,日本,美國), auto_negative(會議,聯合), IP實體(川普), 分層IP(川普)]",,0.0,0.0,川普,P2_response,https://www.cna.com.tw/news/aipl/202603180308.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180307,財部：房屋稅自住優惠　把握3/23申請期限,36,94.0,N,"score=36.2 thres=94.0 tier=P1_followup | rules=[泛國際(負)(例行), 預測分析降權, 分層IP()]",,0.0,25.0,,P1_followup,https://www.cna.com.tw/news/afe/202603180307.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180301,竹縣布偶貓認養　8隻全數找到新家,34,94.0,N,score=33.6 thres=94.0 tier=P1_followup | rules=[分層IP()],,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/aloc/202603180301.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180280,國訓中心辦座談會  林鴻道：新團隊展現全新氣象,34,94.0,N,score=33.6 thres=94.0 tier=P1_followup | rules=[分層IP()],,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/aspt/202603180280.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180273,中捷烏日站公共藝術「微浮」　演繹河川匯聚之美,34,94.0,N,score=33.6 thres=94.0 tier=P1_followup | rules=[分層IP()],,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/aloc/202603180273.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180269,周杰倫3/24會粉絲 張學友暱稱變新輯「太陽之子」,34,94.0,N,score=33.6 thres=94.0 tier=P1_followup | rules=[分層IP()],,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/amov/202603180269.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180266,吳宗憲辭國民黨文傳會主委　尹乃菁接任,34,94.0,N,score=33.6 thres=94.0 tier=P1_followup | rules=[分層IP()],,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/aipl/202603180266.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180281,SONY世界攝影大獎　蔡維宸拍原民母女傳承刺繡獲獎,28,94.0,N,"score=28.3 thres=94.0 tier=P2_response | rules=[auto_positive(世界,台灣), 預測分析降權, 分層IP()]",,0.0,0.0,,P2_response,https://www.cna.com.tw/news/ahel/202603180281.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180279,每3件彩粧就1件近全新　環團推回收計畫減少浪費,27,94.0,N,"score=27.2 thres=94.0 tier=P3_analysis | rules=[auto_positive(台灣), 預測分析降權, 分層IP()]",,0.0,25.0,,P3_analysis,https://www.cna.com.tw/news/ahel/202603180279.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180303,台灣燈會青森睡魔燈籠　3/21移展嘉縣朴子配天宮,24,94.0,N,"score=24.1 thres=94.0 tier=P1_followup | rules=[auto_positive(台灣,日本), 預測分析降權, 分層IP()]",,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/aloc/202603180303.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180302,嘉市文化路夜市攤販紛爭互控傷害　警：無黑道介入,23,94.0,N,"score=23.2 thres=94.0 tier=P2_response | rules=[泛國際(負)(聲明), 分層IP()]",,0.0,0.0,,P2_response,https://www.cna.com.tw/news/aloc/202603180302.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180309,19日鋒面通過北部東半部連3天雨　下週回穩偏熱,21,94.0,N,"score=21.2 thres=94.0 tier=P3_analysis | rules=[預測分析降權, 分層IP()]",,0.0,0.0,,P3_analysis,https://www.cna.com.tw/news/ahel/202603180309.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180299,生成式AI發展需平衡創新與競爭　公平會將不過早介入,20,94.0,N,"score=20.5 thres=94.0 tier=P2_response | rules=[IP/新奇(AI), 泛國際(負)(報告,聲明,關切), auto_positive(台灣), IP實體(AI), 預測分析降權 … (+1)]",,0.0,0.0,,P2_response,https://www.cna.com.tw/news/afe/202603180299.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180296,越南台商匯回不便出現套利空間　金管會：非法匯兌面臨重罰,20,94.0,N,"score=20.2 thres=94.0 tier=P3_analysis | rules=[死亡/災害(規模), 泛國際(負)(報告), auto_positive(台灣,規模), 預測分析降權, 分層IP()]",,0.0,0.0,,P3_analysis,https://www.cna.com.tw/news/afe/202603180296.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180283,環團倡議回收化粧品供二手使用　學者：留意過敏,19,94.0,N,"score=19.4 thres=94.0 tier=P1_followup | rules=[auto_positive(台灣), 預測分析降權, 分層IP()]",,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/ahel/202603180283.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180304,暈車女搭捷運高鐵都崩潰　醫揪偏頭痛惹禍,15,94.0,N,"score=14.6 thres=94.0 tier=P1_followup | rules=[預測分析降權, 分層IP()]",,0.0,0.0,,P1_followup,https://www.cna.com.tw/news/ahel/202603180304.aspx
2026-03-18T17:00:00+08:00,2026-03-18T18:00:00+08:00,202603180268,戶外吸菸室缺統一標準　衛福部：3月底前開會討論,14,94.0,N,"score=13.9 thres=94.0 tier=P3_analysis | rules=[泛國際(負)(報告), auto_negative(會議), 預測分析降權, 分層IP()]",,0.0,15.0,,P3_analysis,https://www.cna.com.tw/news/ahel/202603180268.aspx
2026-03-18T16:00:00+08:00,2026-03-18T17:00:00+08:00,202603183001,2026年3月18日東協快訊,100,94.0,Y,"score=100.0 thres=94.0 tier=P0_short | rules=[IP/新奇(突破,AI), 重大國際/軍事(海峽,戰爭), 泛國際(負)(報告), auto_positive(美國), IP實體(海峽,AI) … (+2)]",,0.0,25.0,海峽,P0_short,https://www.cna.com.tw/news/afe/202603183001.aspx
2026-03-18T16:00:00+08:00,2026-03-18T17:00:00+08:00,202603180255,碳交所與中美洲銀行簽署MOU　共推雙邊碳市場發展,81,94.0,N,"score=80.8 thres=94.0 tier=P1_followup | rules=[IP/新奇(AI), 死亡/災害(規模), auto_positive(台灣,規模), IP實體(AI), 分層IP()]",,0.0,25.0,,P1_followup,https://www.cna.com.tw/news/afe/202603180255.aspx
2026-03-18T16:00:00+08:00,2026-03-18T17:00:00+08:00,202603180260,WBC最佳陣容揭曉　大谷翔平指定打擊亞洲唯一入選,80,94.0,N,"score=80.4 thres=94.0 tier=P1_followup | rules=[高關注運動(冠軍,全壘打,大谷), ip_entities(大谷翔平,WBC), auto_positive(日本,美國), IP實體(大谷翔平,WBC), 分層IP(WBC,大谷翔平)]",,0.0,0.0,"WBC, 大谷翔平",P1_followup,https://www.cna.com.tw/news/aspt/202603180260.aspx
2026-03-18T16:00:00+08:00,2026-03-18T17:00:00+08:00,202603180248,WBC委內瑞拉奪冠創歷史　代理總統宣布3/18全國放假慶祝,80,94.0,N,"score=80.4 thres=94.0 tier=P1_followup | rules=[高關注運動(冠軍,勝), ip_entities(WBC), auto_positive(世界,美國), IP實體(川普,WBC), 分層IP(WBC,川普)]",,0.0,0.0,"WBC, 川普",P1_followup,https://www.cna.com.tw/news/aspt/202603180248.aspx
